,Tarih,YEARWEEK,TP_KKHARTUT_KT50,UNIXTIME
0,02-01-2015,2015-1,985152,"{""numberLong"":""1420153200""}"
1,09-01-2015,2015-2,860409,"{""numberLong"":""1420758000""}"
2,16-01-2015,2015-3,1001081,"{""numberLong"":""1421362800""}"
3,23-01-2015,2015-4,1056686,"{""numberLong"":""1421967600""}"
4,30-01-2015,2015-5,1484559,"{""numberLong"":""1422572400""}"
5,06-02-2015,2015-6,1281062,"{""numberLong"":""1423177200""}"
6,13-02-2015,2015-7,892951,"{""numberLong"":""1423782000""}"
7,20-02-2015,2015-8,863300,"{""numberLong"":""1424386800""}"
8,27-02-2015,2015-9,971927,"{""numberLong"":""1424991600""}"
9,06-03-2015,2015-10,1109791,"{""numberLong"":""1425596400""}"
10,13-03-2015,2015-11,903830,"{""numberLong"":""1426201200""}"
11,20-03-2015,2015-12,932859,"{""numberLong"":""1426806000""}"
12,27-03-2015,2015-13,899548,"{""numberLong"":""1427410800""}"
13,03-04-2015,2015-14,1082389,"{""numberLong"":""1428012000""}"
14,10-04-2015,2015-15,904078,"{""numberLong"":""1428616800""}"
15,17-04-2015,2015-16,938673,"{""numberLong"":""1429221600""}"
16,24-04-2015,2015-17,867986,"{""numberLong"":""1429826400""}"
17,01-05-2015,2015-18,1142837,"{""numberLong"":""1430431200""}"
18,08-05-2015,2015-19,962617,"{""numberLong"":""1431036000""}"
19,15-05-2015,2015-20,1017187,"{""numberLong"":""1431640800""}"
20,22-05-2015,2015-21,971298,"{""numberLong"":""1432245600""}"
21,29-05-2015,2015-22,1216187,"{""numberLong"":""1432850400""}"
22,05-06-2015,2015-23,1238341,"{""numberLong"":""1433455200""}"
23,12-06-2015,2015-24,1031855,"{""numberLong"":""1434060000""}"
24,19-06-2015,2015-25,1060240,"{""numberLong"":""1434664800""}"
25,26-06-2015,2015-26,1058516,"{""numberLong"":""1435269600""}"
26,03-07-2015,2015-27,1416728,"{""numberLong"":""1435874400""}"
27,10-07-2015,2015-28,1173091,"{""numberLong"":""1436479200""}"
28,17-07-2015,2015-29,1047785,"{""numberLong"":""1437084000""}"
29,24-07-2015,2015-30,1184745,"{""numberLong"":""1437688800""}"
30,31-07-2015,2015-31,1989743,"{""numberLong"":""1438293600""}"
31,07-08-2015,2015-32,1286072,"{""numberLong"":""1438898400""}"
32,14-08-2015,2015-33,1108596,"{""numberLong"":""1439503200""}"
33,21-08-2015,2015-34,1183155,"{""numberLong"":""1440108000""}"
